n_total,n_pos,pr_auc,roc_auc,brier,sensitivity,specificity,tp,fp,fn,tn,label,year
5155,66,0.30084873161343745,0.859914729928485,0.013477216474711895,0.6363636363636364,0.8881902141874631,42,569,24,4520,crisis,2018
4960,51,0.18561835704133725,0.860843828262615,0.012877056375145912,0.6274509803921569,0.8824607863108576,32,577,19,4332,crisis,2019
4793,34,0.07996774434760227,0.8045498930818388,0.012580403126776218,0.5882352941176471,0.8491279680605169,20,718,14,4041,crisis,2020
4650,91,0.06817721137213331,0.5979670691230243,0.02242695540189743,0.27472527472527475,0.8892300943189296,25,505,66,4054,crisis,2021
4542,70,0.18542814996296203,0.8535810120112445,0.018260322511196136,0.7285714285714285,0.8785778175313059,51,543,19,3929,crisis,2022
4447,84,0.328010132928019,0.843491808825295,0.01762244664132595,0.6071428571428571,0.8661471464588586,51,584,33,3779,crisis,2023
5155,123,0.13481157430026056,0.796037070068634,0.058586280792951584,0.2764227642276423,0.9670111287758346,34,166,89,4866,growth,2018
4960,224,0.1750246269761536,0.7529117775699807,0.05482204630970955,0.11607142857142858,0.9816300675675675,26,87,198,4649,growth,2019
4793,512,0.30347441762947647,0.7227547959004905,0.13099907338619232,0.345703125,0.9079654286381686,177,394,335,3887,growth,2020
4650,377,0.20348176325632494,0.738763415462335,0.13150593638420105,0.29973474801061006,0.9143458928153522,113,366,264,3907,growth,2021
4542,271,0.13897604109368142,0.6456069899027251,0.11556411534547806,0.24723247232472326,0.9332708967454929,67,285,204,3986,growth,2022
4447,123,0.15062403947666228,0.8107537435226342,0.09688178449869156,0.4634146341463415,0.9153561517113784,57,366,66,3958,growth,2023
