feature,rank_deter,rank_growth,mean_abs_shap_deter,mean_abs_shap_growth,spearman_rho,spearman_p,n_bins
prop_demand_dep,16,11,0.1480657458305359,0.11383946985006332,0.6676691729323309,0.0012967923499898862,20
npl_ratio,1,26,0.747062623500824,0.024269280955195427,0.5748194014447885,0.012581956389329607,18
equity_sd_intra,13,6,0.16875816881656647,0.21544115245342255,0.4240601503759398,0.06240648623134542,20
equity_sd_3y,31,12,0.061668168753385544,0.09413733333349228,0.30075187969924805,0.19757966317255535,20
prop_ln_cons,9,23,0.2631751596927643,0.04397907853126526,0.1894736842105263,0.4236652559268629,20
num_employees,6,5,0.4798687696456909,0.24160347878932953,0.02857142857142857,0.9048224147367736,20
roe_chg,14,8,0.1636674851179123,0.16791246831417084,-0.5969924812030075,0.0054519893833496,20
roe,3,10,0.5532523393630981,0.12746557593345642,-0.6360902255639098,0.002571107276428486,20
prop_ln_re,23,15,0.08510921150445938,0.0841546431183815,-0.6451127819548872,0.002130692970440682,20
roa,2,1,0.5584920644760132,0.44934001564979553,-0.6902255639097743,0.0007563948378339712,20
age,7,14,0.41658854484558105,0.0863397866487503,-0.9609022556390976,1.759049358343191e-11,20
roa_sd_3y,8,4,0.28578099608421326,0.33142030239105225,-0.9639097744360902,8.65358685156246e-12,20
capital_ratio,5,2,0.5398637056350708,0.3518703579902649,-0.9774436090225563,1.3229342264210537e-13,20
